Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Атꙋнче маи мареле попилѡр ꙟши рꙋпсе вешминтеле сале зикънд: хꙋлѣще! че не маи требꙋескꙋ маи мꙋлте мъртꙋрїи? ѩтѫ, акꙋмь аꙋζить хꙋлеле лꙋи.	Atunci arhiereul și-a sfâșiat hainele, zicând: A hulit! Ce ne mai trebuie martori? Iată acum ați auzit hula Lui.
Че въ паре воаѡ? дарѫ Ел ръспꙋнζънд, зисърѫ: ѧсте виноват морцїЕи.	Ce vi se pare? Iar ei, răspunzând, au zis: Este vinovat de moarte.
Атꙋнчѣ скꙋипирѫ ꙟ ѡбраζꙋль лꙋи, шїи дѣдерѫ палме престе ѡбраζ, ѩрѫ алцїи кꙋ бътꙋри ꙟл бътѣ.	Și au scuipat în obrazul Lui, bătându-L cu pumnii, iar unii Îi dădeau palme,
Зикънд: пророчѣще ноаѡ христоасе, чинеи чела че те лови?	Zicând: Proorocește-ne, Hristoase, cine este cel ce Te-a lovit.
Ѩрѫ пътрꙋ шъдѣ афарѫ ꙟкꙋрте, ши маи ла ел ѡ слꙋжникѫ, зикънд: ши тꙋ Ераи кꙋ ЇС галилеанꙋл.	Iar Petru ședea afară, în curte. Și o slujnică s-a apropiat de el, zicând: Și tu erai cu Iisus Galileianul.
Ѩрѫ Ел сѫ лепъдѫ ꙟнаинтѣ тꙋтꙋрор, зикънд нꙋщїꙋ че зич.	Dar el s-a lepădat înaintea tuturor, zicând: Nu știu ce zici.
Ѩрѫ Ешинд Ел кътрѫ поартѫ, въζꙋ пре Ель алта, ши зисе челѡр че Ера аколо, ши ачеста Ера кꙋ ЇС наζаринѣнꙋл.	Și ieșind el la poartă, l-a văzut alta și a zis celor de acolo: Și acesta era cu Iisus Nazarineanul.
Атꙋнчи ѩрѫ сѫ лепъдѫ џюрънд, нꙋ кꙋноскꙋ ѡмꙋль.	Și iarăși s-a lepădat cu jurământ: Nu cunosc pe omul acesta.
Ѩрѫ престе пꙋцинель съ апропїѩрѫ чеѧ че ста ши зисърѫ лꙋи пътрꙋ: адевърь ши тꙋ Ещи дентрънши, кѫ бесада та а ѩве те фаче.	Iar după puțin, apropiindu-se cei ce stăteau acolo au zis lui Petru: Cu adevărat și tu ești dintre ei, căci și graiul te vădește.
Атꙋнчѣ ꙟчепꙋ асѫ блъстъма ши асѫ џюра, зикъндь: къ наꙋ кꙋноскꙋт ѡмꙋл ши нꙋмаи декът кънтѫ кокошꙋл.	Atunci el a început a se blestema și a se jura: Nu cunosc pe omul acesta. Și îndată a cântat cocoșul.
Шиш адꙋсе аминте пътрꙋ де кꙋвънтꙋл лꙋи ЇС чела чеи зисѣсе лꙋи: къ маинте де кънтатꙋл кокошꙋлꙋи, де треи ѡри те веи лепъда де мине. ши Ешинд афарѫ плънсе кꙋ амар.	Și Petru și-a adus aminte de cuvântul lui Iisus, care zisese: Mai înainte de a cânta cocoșul, de trei ori te vei lepăda de Mine. Și ieșind afară, a plâns cu amar.
Ѩрѫ фїинд деминѣца, сфат фъкꙋрѫ тоц попїи чеи маи мари, ши бътрънїи ѡаменилѡрь, спре ЇС съль дѣ пре моарте.	Iar făcându-se dimineață, toți arhiereii și bătrânii poporului au ținut sfat împotriva lui Iisus, ca să-L omoare.
Шиль дꙋсърѫ пре ел легать, шил дѣдерѫ лꙋи пилать, понциань дерегъторюлꙋи.	Și, legându-L, L-au dus și L-au predat dregătorului Ponțiu Pilat.
Атꙋнче въζъндь Їꙋда, чела чел въндꙋсе пре Ел кѫ лаꙋ џюдекат пре моарте, къисе ши ꙟтоарсе треизеч де арџинци, попилор челорь мари ши бътрънилорь.	Atunci Iuda, cel ce L-a vândut, văzând că a fost osândit, s-a căit și a adus înapoi arhiereilor și bătrânilor cei treizeci de arginți,
Зикъндь: грешитам вънζънд Сънџеле невиноват. ѩрѫ Еи зисърѫ: чее ноаѡ? тꙋ веи ведѣ.	Zicând: Am greșit vânzând sânge nevinovat. Ei i-au zis: Ce ne privește pe noi? Tu vei vedea.
Ѩрѫ Ель, арꙋнкъндь арџинцїи ꙟбесѣрекѫ, мѣрсе ꙟлатꙋри, ши сѫ спънζꙋрѫ.	Și el, aruncând arginții în templu, a plecat și, ducându-se, s-a spânzurat.
Ѩрѫ маи марїи попилор, лꙋарѫ ачеи арџинци, зисърѫ: нꙋсѫ каде ачещѣ аи пꙋне ꙟкорваи, къ прец де съџе ѧсте.	Iar arhiereii, luând banii, au zis: Nu se cuvine să-i punem în vistieria templului, deoarece sunt preț de sânge.
Ѩрѫ сфат цънънд, кꙋмпарарѫ кꙋ Еи пъмънтꙋль ѡларюлꙋи, де ꙟгрꙋпарѣ стреинилорь.	Și ținând ei sfat, au cumpărat cu ei Țarina Olarului, pentru îngroparea străinilor.
Пентрꙋ ачѣѧ саꙋ кемат ачел пъмънт акелдама, че сѫ ζиче къмпꙋл сънџелꙋи, пънѫ ꙟζꙋа де астъζи.	Pentru aceea s-a numit țarina aceea Țarina Sângelui, până în ziua de astăzi.
Атꙋнчѣ съ ꙟплꙋ чѣꙋ ζисЬ пре Еремїѧ пророкꙋл ζикънд:"ши лꙋарѫ треиζеч де арџинци, прецꙋл челꙋи прецꙋит, кареле сѫ прецꙋи де фїи лꙋи иζраил.	Atunci s-a împlinit cuvântul spus de Ieremia proorocul, care zice: "Și au luat cei treizeci de arginți, prețul celui prețuit, pe care l-au prețuit fiii lui Israel,
Шїи дѣдерѫ пре агрꙋл ѡларюлꙋи кꙋм аꙋ ръндꙋит мїе домнꙋл".	Și i-au dat pe Țarina Olarului după cum mi-a spus mie Domnul".
Ѩрѫ ЇС стътꙋ ꙟнаинтѣ дерегъторюлꙋи. шиль ꙟтребѫ ζикънд: тꙋ Ещи чел краю а Їꙋдеилѡр? ЇС ζисе лꙋи: тꙋ ζичи.	Iar Iisus stătea înaintea dregătorului. Și L-a întrebat dregătorul, zicând: Tu ești regele iudeilor? Iar Iisus i-a răspuns: Tu zici.
Ши къндꙋи бъга винѫ маи марїи попилѡр ши бътрънїи, немикѫ нꙋ ръспꙋнсе.	Și la învinuirile aduse Lui de către arhierei și bătrâni, nu răspundea nimic.
Атꙋнче ζисе лꙋи пилать: аꙋ нꙋ аꙋζи къте мꙋлте мъртꙋрисескꙋ пре тине?	Atunci I-a zis Pilat: Nu auzi câte mărturisesc ei împotriva Ta?
Ши нꙋи ръспꙋнсе лꙋи нече ѹн кꙋвънть, ашѧ кꙋм сѫ мира ши дерегъторюл фоарте.	Și nu i-a răspuns lui nici un cuvânt, încât dregătorul se mira foarte.
Ѩрѫ дерегъторюл авѣ ръндꙋѧлѫ ꙟтоате сърбъториле съ слобоаζѫ ѹн робь, нъродꙋдꙋи кареле врѣ.	La sărbătoarea Paștilor, dregătorul avea obiceiul să elibereze mulțimii un întemnițat pe care-l voiau.
Че авѣ атꙋнчи ѹн робЬ вестит, дел кема варавва.	Și aveau atunci un vinovat vestit, care se numea Baraba.
Дерепть ачѣѧ адꙋнъндꙋсѫ Еи, ζисе лорь пилат: кареле воиц съ вѫ слобоз воаѡ? варава, аꙋ ЇС че сѫ ζиче ΧС?	Deci adunați fiind ei, Pilat le-a zis: Pe cine voiți să vi-l eliberez, pe Baraba sau pe Iisus, care se zice Hristos?
Къ щїѧ къ нꙋ маи пентрꙋ пиζма лаꙋ дат пре Ель.	Că știa că din invidie L-au dat în mâna lui.
Ѩрѫ шъζънд Ел ла џюдекатѫ, тримисе кътрѫ Ел мꙋѧрѣ лꙋи, ζикънд: съ нꙋте амѣстечь ꙟ лꙋкрꙋл ачестꙋи дерепт, кѫ мꙋлтЬ ам пъцит астъζи ꙟ сомнꙋ пентрꙋ Ель.	Și pe când stătea Pilat în scaunul de judecată, femeia lui i-a trimis acest cuvânt: Nimic să nu-I faci Dreptului acestuia, că mult am suferit azi, în vis, pentru El.
Ѩрѫ маи марїи попилор ши бътрѫнїи ꙟдемна диханїѧ ка съ чарѫ пре варавва, ѩрѫ пре ЇС съл пїарζѫ.	Însă arhiereii și bătrânii au ațâțat mulțimile ca să ceară pe Baraba, iar pe Iisus să-L piardă.
Ѩрѫ ръспꙋнζънд ,дерегъторюль зисе лорЬ: пре кареле вец де ꙟдои съ слобоζь воаѡ? ѩрѫ Еи зисърѫ варавва.	Iar dregătorul, răspunzând, le-a zis: Pe cine din cei doi voiți să vă eliberez? Iar ei au răspuns: Pe Baraba.
Зисе лор пилат: дарѫ че вою фаче лꙋи ЇС, че сѫ зиче ΧС? зисерѫ тоц: съл ръстигнѣскѫ.	Și Pilat le-a zis: Dar ce voi face cu Iisus, ce se cheamă Hristos? Toți au răspuns: Să fie răstignit!
Дерегъторюл зисе лорь, че ръꙋ аꙋ фъкꙋт? дарѫ Еи маи въртос стрига, зикънд: съл ръстигнѣскѫ.	A zis iarăși Pilat: Dar ce rău a făcut? Ei însă mai tare strigau și ziceau: Să fie răstignit!
Ѩрѫ въζънд пилать къ немикѫ нꙋ фолосѣще, че маи мꙋлт гълчавѫ съ фаче, лꙋꙟнд апѫ спълѫшь мъниле ꙟнаинтѣ диханїи, ζикъндь: невиновать сънт де сънџеле дерептꙋлꙋи ачестꙋѧ вои вец ведѣ.	Și văzând Pilat că nimic nu folosește, ci mai mare tulburare se face, luând apă și-a spălat mâinile înaintea mulțimii, zicând: Nevinovat sunt de sângele Dreptului acestuia. Voi veți vedea.
Ши ръспꙋнζънд тоатѫ диханїѧ зисе: сънџеле лꙋи спре нои ши спре фечорїи нощри.	Iar tot poporul a răspuns și a zis: Sângele Lui asupra noastră și asupra copiilor noștri!
Атꙋнчи лъсѫ лор пре варава, ѩрѫ пре ЇС иζбиндꙋл дѣде лор съл ръстигнѣскѫ.	Atunci le-a eliberat pe Baraba, iar pe Iisus L-a biciuit și L-a dat să fie răstignit.
Атꙋнче кꙋртѣнїи дерегъторюлꙋи, дꙋсъръл спре ЇС ꙟполатѫ съ адꙋнарѫ ла Ель тоатѫ мꙋлцимѣ витѣжилорь.	Atunci ostașii dregătorului, ducând ei pe Iisus în pretoriu, au adunat în jurul Lui toată cohorta,
Шил деζбрѫкарѫ пре Ел, ши ꙟбрѫкарѫ ꙟхаинѫ рошїе.	Și dezbrăcându-L de toate hainele Lui, I-au pus o hlamidă roșie.
Ши кꙋнꙋнѫ де спинь ꙟплетитѫ, пꙋсърѫ ꙟкапꙋл лꙋи, ши трестїе ꙟдирѣпта лꙋи ши ꙟџенꙋнкиндь ꙟнаинтѣ лꙋи, бътѣш џїѡкь де Ель, зикъндь: бꙋкꙋрѫте, краюл Їꙋдеилор.	Și împletind o cunună de spini, I-au pus-o pe cap și în mâna Lui cea dreaptă trestie; și, îngenunchind înaintea lui își băteau joc de El, zicând: Bucură-Te, regele iudeilor!
Ши скꙋепиндь пре Ел, лꙋарѫ трестїе ши бътѣ капꙋл лꙋи.	Și scuipând asupra Lui, au luat trestia și-L băteau peste cap.
Ши дѣкаш бътꙋрѫ џїѡкь де Ель, деζбрѫкарѫ де пре Ель вешмънтꙋль, шиль ꙟбрѫкарѫ ꙟ вешминтеле лꙋи, шилЬ дꙋсърѫ съл ръстигнѣскѫ.	Iar după ce L-au batjocorit, L-au dezbrăcat de hlamidă, L-au îmbrăcat cu hainele Lui și L-au dus să-L răstignească.
Ѩрѫ Ешиндь афларѫ ѹн ѡм, нꙋмеле лꙋи симон киринеꙋ, ши ачеста силирѫ съи дꙋкѫ крꙋчѣ лꙋи.	Și ieșind, au găsit pe un om din Cirene, cu numele Simon; pe acesta l-au silit să ducă crucea Lui.
Ши венирѫ ла локꙋл че съ кїамѫ голгоѳа, че съ зиче: лѡкꙋл къпъцинилорь ѡаменилорь.	Și venind la locul numit Golgota, care înseamnă: Locul Căpățânii,
Дѣдерѫ лꙋи съ бѣ ѡцѫт кꙋ фїѧре аместекать; ши дѣ ка гꙋстѫ, нꙋ врꙋ съ бѣ.	I-au dat să bea vin amestecat cu fiere; și, gustând, nu a voit să bea.
Дарѫ дѣка ръстигнирѫ пре Ель, ꙟпърцирѫ вешминтеле лꙋи, арꙋнкъндь сорци, ка съ сѫ ꙟпле че Е зись, де пророкꙋл зикънд: ꙟпърцирѫ вешминтеле мѣле лор, ши пре вешмънтꙋль мїеꙋ арꙋнкарѫ соарте.	Iar după ce L-au răstignit, au împărțit hainele Lui, aruncând sorți, ca să se împlinească ceea ce s-a zis de proorocul: "Împărțit-au hainele Mele între ei, iar pentru cămașa Mea au aruncat sorți".
Ши шъζънд, пъζїѧ пре Ель аколо.	Și ostașii, șezând, Îl păzeau acolo.
Ши пꙋсърѫ де сꙋпра капꙋлꙋи лꙋи вина лꙋи скрисѫ: АЧЕСТА ѦСТЕ ЇС ЧЕЛЬ, КРАю АЛЬ ЇꙋДЕИЛОРЬ.	Și deasupra capului au pus vina Lui scrisă: Acesta este Iisus, regele iudeilor.
Атꙋнчѣ ръстигнирѫ кꙋ Ел дои тълхари, ѹнꙋл дѣ дерѣпта ши алтꙋл дѣ стънга.	Atunci au fost răstigniți împreună cu El doi tâlhari, unul de-a dreapta și altul de-a stânga.
Ѩрѫ чеѧ че тречѣ хꙋлїѧ пре Ель, клътинд капетеле лор.	Iar trecătorii Îl huleau, clătinându-și capetele,
Ши зикънд: тꙋ, чела че спърџѣи бесѣрека лꙋи дꙋмнеѕъꙋ, ши атреѧ зи ѡ ζидиѧи, мѫнтꙋѧщете пре тине! Съ Ещи фїюл лꙋи дꙋмнеѕъꙋ, погорь де пре крꙋче!	Și zicând: Tu, Cel ce dărâmi templul și în trei zile îl zidești, mântuiește-Te pe Tine Însuți! Dacă ești Fiul lui Dumnezeu, coboară-Te de pe cruce!
Ашиждере ши маи марїи попилор, бътџїѡ кꙋринд пре Ел кꙋ къртꙋларїи, ши кꙋ бътрънїи ζичѣ:	Asemenea și arhiereii, bătându-și joc de El, cu cărturarii și cu bătrânii, ziceau:
Пре алцїи аꙋ мънтꙋит, дарѫ пре сине нꙋсѫ поате мънтꙋи! де ѧсте краюл Їꙋдеилѡрь, погоарѫ акꙋмь де пре крꙋче, ши вомь крѣде лꙋи.	Pe alții i-a mântuit, iar pe Sine nu poate să Se mântuiască! Dacă este regele lui Israel, să Se coboare acum de pe cruce, și vom crede în El.
Нъдъждꙋиѧ ꙟ дꙋмнеѕъꙋ: иζбъвѣскѫ, пре Ел акꙋм де ва врѣ, каꙋ ζись: кѫ сънт фїюл лꙋи дꙋмнеѕъꙋ.	S-a încrezut în Dumnezeu: Să-L scape acum, dacă-L vrea pe El! Căci a zis: Sunt Fiul lui Dumnezeu.
Дечи ашѧ ши тълхарїи карїи Ера ръстигниц кꙋ Ел ꙟпꙋта лꙋи.	În același chip Îl ocărau și tâlharii cei împreună-răstigniți cu El.
Ѩрѫ ден нал шаселе час ꙟтꙋнѣрек фꙋ престе тот пъмънтꙋл, пънѫ ла аль ноаѡле чась.	Iar de la ceasul al șaselea, s-a făcut întuneric peste tot pământul, până la ceasul al nouălea.
Ѩрѫ ꙟнал ноаѡле час стригѫ ЇС кꙋ маре глас, ζикънд: Ели, Ели, лама савахѳани? че сѫ спꙋне: дꙋмнеѕъꙋль мїеꙋ, дꙋмнеѕъꙋл мїеꙋ, къче мѫ лъсаши?	Iar în ceasul al nouălea a strigat Iisus cu glas mare, zicând: Eli, Eli, lama sabahtani? adică: Dumnezeul Meu, Dumnezeul Meu, pentru ce M-ai părăsit?
Ѩрѫ ѹнїи че Ста аколѣ аꙋζинд, зичѣ: кѫ пре Їлїе стригѫ ачеста.	Iar unii dintre cei ce stăteau acolo, auzind ziceau: Pe Ilie îl strigă Acesta.
Ши нꙋмаи декъть алергѫ ѹнꙋль де ꙟтрꙋ Еи, ши лꙋꙟндь бꙋрѣтеле де маре, шиль ꙟплꙋ де ѡцъть шиль пꙋсе ꙟтро трестїе, шїи дѣде Съ бѣ.	Și unul dintre ei, alergând îndată și luând un burete, și umplându-l de oțet și punându-l într-o trestie, Îi da să bea.
